year,team,three_year_bb_park_factor,one_year_bb_park_factor,three_year_so_park_factor,one_year_so_park_factor,three_year_h_park_factor_rhb,one_year_h_park_factor_rhb,three_year_h_park_factor_lhb,one_year_h_park_factor_lhb
2025,laa,103,99,105,106,100,101,95,97
2024,laa,103,106,106,102,99,98,97,96
2023,laa,103,103,106,107,100,100,98,93
2022,laa,104,98,103,109,101,99,103,101
2021,laa,106,106,99,103,101,100,101,102
2020,laa,106,105,99,93,98,106,99,113
2025,sf,90,96,97,97,101,104,100,101
2024,sf,92,89,99,97,100,101,100,99
2023,sf,94,83,101,98,99,98,100,99
2022,sf,102,104,103,103,101,101,100,102
2019,sf,89,87,97,102,99,97,97,92
2018,sf,95,96,92,93,102,101,101,103
2017,sf,96,85,93,91,100,103,100,96
2025,pit,100,95,96,100,101,101,101,98
2024,pit,102,102,95,95,100,101,104,106
2023,pit,105,101,92,96,102,101,103,98
2022,pit,106,103,92,92,100,99,103,106
2021,pit,104,112,91,89,100,104,104,103
2020,pit,99,100,93,98,97,96,106,100
2019,pit,97,100,89,89,99,100,107,107
2018,pit,98,97,90,93,101,97,106,108
2017,pit,98,92,92,87,103,101,99,105
2025,min,100,96,103,98,103,103,102,104
2024,min,105,100,105,101,101,106,100,104
2023,min,103,101,104,112,98,100,101,97
2022,min,103,110,99,103,96,98,104,101
2021,min,97,97,98,94,96,96,106,105
2020,min,103,98,99,102,99,90,104,103
2019,min,102,97,97,99,102,98,105,106
2018,min,100,110,95,98,105,104,105,101
2017,min,95,104,93,96,105,103,105,105
2022,det,101,99,94,95,101,99,95,98
2021,det,96,104,97,98,104,100,97,91
2020,det,91,97,95,93,105,106,98,95
2019,det,92,88,92,99,107,107,102,104
2018,det,95,91,91,93,107,103,98,92
2017,det,98,97,92,86,107,111,100,105
2025,hou,100,100,102,100,100,97,100,99
2024,hou,102,101,101,100,100,103,99,99
2023,hou,104,103,100,96,98,101,101,101
2022,hou,104,103,102,107,96,95,100,99
2021,hou,103,106,100,97,99,97,100,106
2020,hou,101,95,105,104,98,94,95,91
2019,hou,101,103,105,104,99,102,94,99
2025,mia,97,97,97,96,101,95,106,101
2024,mia,96,103,100,97,102,103,107,108
2023,mia,93,90,102,98,99,103,103,110
2022,mia,94,94,102,101,98,100,101,102
2019,mia,101,102,95,98,100,102,93,89
2018,mia,102,94,95,95,95,98,96,89
2024,ath,102,105,98,99,98,100,95,97
2023,ath,99,108,99,104,95,95,96,89
2022,ath,95,97,97,92,94,97,100,99
2021,ath,95,91,97,101,94,93,99,102
2020,ath,98,96,96,99,96,92,94,101
2019,ath,100,100,98,95,98,98,94,92
2018,ath,96,98,98,98,98,96,96,93
2017,ath,96,106,95,102,99,101,98,100
2025,wsh,94,93,90,96,103,103,106,105
2024,wsh,96,96,89,93,99,96,108,106
2023,wsh,97,92,89,82,102,107,108,108
2022,wsh,98,99,93,93,99,93,106,108
2021,wsh,102,98,95,91,104,105,106,106
2020,wsh,104,97,96,98,104,99,106,97
2019,wsh,102,104,99,98,104,104,107,109
2018,wsh,98,104,100,96,102,104,103,108
2017,wsh,97,94,103,104,101,105,100,106
2021,bal,96,99,93,96,104,106,103,108
2020,bal,95,97,90,98,105,95,101,92
2019,bal,97,92,91,90,106,105,102,103
2018,bal,101,97,93,91,103,104,101,100
2017,bal,100,100,96,93,104,104,102,104
2025,phi,96,92,104,107,100,106,101,100
2024,phi,96,97,102,98,100,99,101,101
2023,phi,97,97,104,106,101,94,99,102
2022,phi,99,94,101,101,103,106,101,98
2021,phi,102,99,100,104,102,102,103,98
2020,phi,102,106,104,97,99,98,103,108
2019,phi,101,103,106,98,99,101,100,103
2018,phi,97,99,110,116,97,95,98,97
2017,phi,96,100,105,108,99,100,99,98
2025,kc,100,98,89,91,105,99,102,101
2024,kc,102,98,87,90,108,105,104,106
2023,kc,100,105,87,87,109,112,103,99
2022,kc,96,105,88,84,110,110,107,106
2021,kc,92,92,88,90,107,109,109,107
2020,kc,96,94,87,93,104,109,110,106
2019,kc,96,95,87,85,101,103,108,110
2018,kc,96,99,90,86,103,102,106,108
2017,kc,94,94,90,90,103,100,103,103
2025,bos,97,101,96,93,104,104,110,105
2024,bos,96,94,97,103,106,101,113,106
2023,bos,99,99,95,93,109,103,116,120
2022,bos,100,97,97,96,112,110,113,110
2021,bos,106,101,98,95,107,109,110,116
2020,bos,105,99,100,98,105,112,106,108
2019,bos,101,112,101,103,103,98,105,104
2018,bos,98,99,98,100,106,104,108,104
2017,bos,96,92,95,101,108,106,110,105
2025,cle,100,103,102,106,97,101,98,89
2024,cle,97,101,98,101,95,96,102,106
2023,cle,96,96,98,95,96,97,100,99
2022,cle,96,93,101,97,96,93,103,102
2021,cle,98,97,105,102,97,99,100,101
2020,cle,96,98,104,105,98,96,102,110
2019,cle,95,100,106,107,95,96,103,94
2018,cle,99,93,103,100,95,99,109,106
2017,cle,104,96,104,111,96,90,109,106
2022,nym,101,102,105,104,95,93,98,98
2021,nym,100,102,106,106,95,95,98,96
2020,nym,96,99,108,104,92,95,97,100
2019,nym,97,95,105,107,94,94,96,100
2018,nym,100,91,106,109,93,89,93,94
2017,nym,100,100,105,101,93,95,93,94
2025,mil,106,107,109,106,95,95,93,95
2024,mil,106,102,112,113,94,92,93,96
2023,mil,109,109,110,109,94,98,92,90
2022,mil,107,107,110,114,94,93,94,93
2021,mil,109,112,110,106,93,91,94,93
2020,mil,106,100,112,106,95,101,95,101
2019,mil,106,110,110,113,97,94,96,94
2018,mil,106,105,109,111,98,96,96,94
2017,mil,105,101,106,107,97,102,101,98
2025,atl,99,100,106,104,101,99,102,104
2024,atl,98,100,109,108,102,103,101,98
2023,atl,99,97,108,106,101,102,102,105
2022,atl,101,100,107,112,100,101,100,99
2021,atl,104,100,101,104,102,98,102,101
2020,atl,105,105,97,101,104,104,99,99
2019,atl,100,106,95,98,104,104,101,102
2025,cin,103,103,102,104,100,98,100,97
2024,cin,105,103,102,102,102,103,101,104
2023,cin,108,105,103,102,104,98,102,98
2022,cin,108,108,106,104,105,107,103,100
2021,cin,107,109,107,105,102,108,100,106
2020,cin,106,103,108,109,98,93,101,104
2019,cin,107,102,106,107,99,101,100,96
2018,cin,108,109,101,107,99,99,102,106
2017,cin,109,110,100,102,99,97,100,97
2025,chc,100,98,103,103,95,92,98,101
2024,chc,102,100,103,106,96,90,101,92
2023,chc,103,101,102,101,99,101,104,101
2022,chc,102,104,104,103,96,95,104,110
2021,chc,103,101,103,103,98,100,99,103
2020,chc,107,97,100,104,99,93,97,98
2019,chc,109,105,100,101,99,99,99,99
2018,chc,112,112,102,96,96,101,95,100
2017,chc,110,110,106,102,94,98,91,99
2025,nyy,111,115,101,101,94,91,94,94
2024,nyy,110,118,103,101,96,98,92,95
2023,nyy,108,102,107,102,95,94,88,97
2022,nyy,109,108,107,108,96,96,85,83
2021,nyy,108,115,107,110,97,95,90,85
2020,nyy,107,98,104,98,101,100,99,95
2019,nyy,109,102,107,109,98,96,97,93
2018,nyy,108,111,107,104,99,103,96,104
2017,nyy,105,112,106,111,96,95,96,90
2025,tex,100,98,101,102,97,91,98,94
2024,tex,103,98,100,103,99,93,102,97
2023,tex,101,104,97,97,101,106,103,104
2022,tex,103,107,100,102,97,96,102,105
2019,tex,107,106,92,95,108,109,106,106
2018,tex,106,105,90,89,108,110,105,109
2017,tex,108,115,90,92,106,104,104,104
2025,tor,100,101,97,94,101,103,96,101
2024,tor,97,94,98,95,102,105,97,97
2023,tor,94,106,98,101,101,97,98,92
2022,tor,86,92,96,98,103,103,102,104
2021,tor,95,78,98,94,98,100,98,95
2019,tor,100,103,101,100,99,96,98,97
2018,tor,102,99,101,103,99,100,98,100
2017,tor,104,100,98,98,98,100,96,95
2025,col,101,99,90,89,118,123,115,115
2024,col,99,103,89,92,116,115,115,114
2023,col,95,99,85,90,117,116,113,117
2022,col,90,96,83,82,119,119,114,116
2021,col,93,92,84,84,121,116,116,108
2020,col,95,80,90,90,120,116,118,119
2019,col,101,100,91,85,117,126,117,119
2018,col,101,99,91,95,115,116,118,115
2017,col,102,104,88,91,117,110,120,119
2024,tb,95,98,108,106,97,97,94,92
2023,tb,95,93,111,111,95,96,93,98
2022,tb,97,93,110,106,94,97,92,93
2021,tb,95,99,112,113,93,92,94,92
2020,tb,99,102,108,109,95,94,94,94
2019,tb,99,92,109,112,95,93,93,95
2018,tb,101,104,111,105,95,96,92,90
2017,tb,97,99,114,112,94,96,94,92
2025,sd,103,110,102,104,96,92,95,93
2024,sd,99,87,102,102,96,99,94,99
2023,sd,106,110,103,100,94,96,94,92
2022,sd,104,99,106,105,94,92,92,90
2021,sd,106,108,106,106,93,94,94,98
2020,sd,106,105,103,108,95,97,97,92
2019,sd,104,104,104,103,94,93,97,95
2018,sd,102,107,103,98,96,97,98,105
2017,sd,100,104,107,108,96,91,97,93
2025,az,99,100,94,92,106,102,103,101
2024,az,99,98,94,92,107,111,101,106
2023,az,97,98,95,98,104,102,104,102
2022,az,99,103,93,94,105,103,103,95
2021,az,96,92,96,94,103,108,107,112
2020,az,101,106,99,94,99,101,101,100
2019,az,100,92,101,99,101,100,100,104
2018,az,103,105,102,101,105,98,103,99
2017,az,102,101,101,105,107,104,107,101
2025,cws,103,106,100,96,98,96,98,96
2024,cws,101,105,100,97,100,99,99,100
2023,cws,101,98,102,104,100,100,97,99
2022,cws,104,100,100,96,102,102,94,100
2021,cws,104,106,104,106,101,98,90,92
2020,cws,101,108,105,99,102,108,93,85
2019,cws,101,101,106,103,100,100,94,93
2018,cws,100,98,104,111,100,100,94,97
2017,cws,103,106,103,103,100,98,91,91
2025,sea,96,95,116,113,87,88,93,90
2024,sea,95,97,115,122,90,85,91,91
2023,sea,96,95,110,113,92,88,90,98
2022,sea,96,92,107,110,94,97,87,85
2021,sea,99,99,106,108,94,91,93,87
2020,sea,93,97,104,102,96,91,98,94
2019,sea,94,101,105,107,96,95,98,96
2018,sea,93,82,105,106,96,98,99,100
2017,sea,98,99,106,102,94,96,99,99
2025,stl,96,90,91,90,104,104,103,102
2024,stl,99,97,90,91,103,104,100,98
2023,stl,97,100,90,90,102,105,100,107
2022,stl,98,99,89,87,100,101,95,95
2021,stl,100,92,92,92,96,97,95,97
2020,stl,101,108,92,87,99,103,94,95
2019,stl,99,100,95,95,98,96,97,94
2018,stl,97,96,95,93,100,103,98,94
2017,stl,97,102,96,99,100,98,101,101
2025,lad,101,107,99,102,99,99,95,98
2024,lad,98,101,101,95,98,98,95,96
2023,lad,95,97,105,101,97,98,95,92
2022,lad,94,96,106,108,99,97,96,102
2021,lad,91,96,103,107,98,98,95,92
2020,lad,89,93,104,97,98,106,97,93
2019,lad,91,87,107,103,95,96,96,100
2018,lad,93,90,109,109,93,97,96,95
2017,lad,93,97,109,110,94,91,94,94
